iterations,fitness,time,fevals
0,28.0,0.000542906,468
10,30.0,0.000944538,835
20,31.0,0.001309907,1196
30,33.0,0.001671929,1562
40,33.0,0.002027139,1925
50,34.0,0.002378077,2290
60,34.0,0.002733139,2655
70,36.0,0.00308674,3024
80,36.0,0.003437314,3386
90,36.0,0.003784412,3754
100,37.0,0.004135205,4115
110,37.0,0.004491312,4484
120,38.0,0.00484393,4855
130,38.0,0.005195439,5221
140,37.0,0.005537908,5583
150,37.0,0.005985957,5948
160,37.0,0.006470937,6319
170,37.0,0.006876442,6688
180,38.0,0.007234879,7058
190,38.0,0.007616792,7427
200,38.0,0.008007981,7799
210,38.0,0.008428418,8164
220,39.0,0.00880683,8537
230,39.0,0.009172016,8903
240,39.0,0.009536411,9271
250,39.0,0.009895371,9637
260,40.0,0.010275829,10000
270,39.0,0.010630876,10366
280,39.0,0.010986682,10728
290,40.0,0.011352207,11092
300,38.0,0.011699872,11462
310,38.0,0.012051782,11825
320,39.0,0.012406336,12189
330,39.0,0.012801652,12558
340,39.0,0.013297168,12918
350,40.0,0.01379353,13290
360,40.0,0.014259698,13657
370,40.0,0.014734371,14021
380,40.0,0.015215164,14389
390,40.0,0.015717053,14753
400,41.0,0.016233581,15123
410,41.0,0.016798053,15491
420,41.0,0.017291643,15856
430,41.0,0.017770624,16230
440,41.0,0.018252554,16595
450,41.0,0.018730733,16972
460,41.0,0.019213587,17332
470,42.0,0.019690704,17697
480,42.0,0.020161214,18062
490,42.0,0.020622098,18432
500,41.0,0.021018459,18801
510,42.0,0.021424099,19164
520,42.0,0.021820973,19527
530,42.0,0.022210025,19899
540,43.0,0.022626062,20267
550,43.0,0.023090797,20636
560,43.0,0.023540904,21009
570,42.0,0.023937382,21376
580,42.0,0.024330746,21736
590,43.0,0.024743821,22106
600,43.0,0.025143585,22472
610,43.0,0.025530062,22835
620,43.0,0.025907188,23194
630,44.0,0.026290914,23556
640,44.0,0.02667647,23931
650,44.0,0.027052745,24298
660,43.0,0.027442641,24664
670,44.0,0.027824907,25036
680,43.0,0.028208891,25401
690,44.0,0.028581853,25766
700,44.0,0.028960295,26139
710,44.0,0.029338937,26506
720,44.0,0.029724146,26877
730,45.0,0.030150416,27240
740,45.0,0.030523241,27611
750,45.0,0.030905609,27981
760,45.0,0.031272814,28348
770,44.0,0.031630059,28711
780,44.0,0.03198677,29070
790,44.0,0.032338327,29432
800,44.0,0.032690842,29799
810,45.0,0.033059312,30164
820,44.0,0.033405263,30528
830,45.0,0.033756831,30886
840,44.0,0.034114355,31259
850,45.0,0.034485467,31623
860,45.0,0.034833184,31995
870,45.0,0.035185299,32356
880,45.0,0.035540306,32711
890,46.0,0.035877572,33073
900,46.0,0.036223157,33433
910,46.0,0.036565731,33803
920,46.0,0.036934229,34157
930,45.0,0.037317547,34520
940,45.0,0.037680521,34891
950,44.0,0.038034272,35252
960,44.0,0.03839106,35626
970,44.0,0.038729441,35995
980,44.0,0.039082409,36365
990,44.0,0.039425026,36725
1000,44.0,0.039758011,37087
1010,44.0,0.040119566,37446
1020,45.0,0.040460837,37808
1030,44.0,0.040811498,38177
1040,44.0,0.04118773,38537
1050,44.0,0.041528151,38903
1060,45.0,0.041871566,39273
1070,44.0,0.042221396,39635
1080,45.0,0.042564782,39993
1090,44.0,0.042933268,40363
1100,44.0,0.043273123,40730
1110,45.0,0.043604087,41094
1120,44.0,0.043944682,41471
1130,44.0,0.044296751,41835
1140,44.0,0.044688133,42202
1150,44.0,0.045031195,42563
1160,44.0,0.045366607,42926
1170,45.0,0.04571507,43290
1180,45.0,0.046059435,43657
1190,46.0,0.046404579,44022
1200,45.0,0.046748152,44383
1210,47.0,0.047144849,44756
1220,45.0,0.047516969,45121
1230,45.0,0.04788839,45488
1240,45.0,0.048343771,45858
1250,45.0,0.048702174,46229
1260,45.0,0.04907474,46595
1270,46.0,0.04943143,46970
1280,45.0,0.049796529,47340
1290,45.0,0.050207809,47704
1300,45.0,0.050643318,48071
1310,45.0,0.050985363,48445
1320,45.0,0.051329306,48811
1330,46.0,0.051732175,49177
1340,45.0,0.05208188,49544
1350,45.0,0.052468612,49917
1360,45.0,0.052858305,50293
1370,45.0,0.053209059,50664
1380,45.0,0.053552967,51034
1390,45.0,0.053896428,51394
1400,45.0,0.054242426,51762
1410,45.0,0.054582307,52136
1420,45.0,0.054936538,52507
1430,45.0,0.055277941,52870
1440,45.0,0.055613998,53243
1450,46.0,0.055951749,53613
1460,47.0,0.056295944,53975
1470,48.0,0.056640735,54340
1480,46.0,0.056982218,54705
1490,46.0,0.05732908,55076
1500,45.0,0.05768278,55437
1510,45.0,0.058034042,55808
1520,45.0,0.058412695,56176
1530,46.0,0.058761998,56537
1540,46.0,0.059114363,56908
1550,46.0,0.059462771,57273
