iterations,fitness,time,fevals
0,32.0,0.084265681,1000
10,35.0,0.158583502,2100
20,39.0,0.226615033,3200
30,42.0,0.292169284,4300
40,43.0,0.352554145,5400
50,45.0,0.412978642,6500
60,47.0,0.473354112,7600
70,42.0,0.531674633,8700
80,46.0,0.591523462,9800
90,43.0,0.649534062,10900
100,44.0,0.711701956,12000
110,46.0,0.773194971,13100
120,52.0,0.833085561,14200
130,51.0,0.892888042,15300
140,44.0,0.952795603,16400
150,46.0,1.012867624,17500
160,46.0,1.072424314,18600
170,47.0,1.131678156,19700
180,43.0,1.192800726,20800
190,44.0,1.252738019,21900
200,43.0,1.312085709,23000
210,46.0,1.371677856,24100
220,46.0,1.432134646,25200
230,47.0,1.498899956,26300
240,50.0,1.56078272,27400
250,50.0,1.623222719,28500
260,49.0,1.685305283,29600
270,48.0,1.757639796,30700
280,45.0,1.819897348,31800
290,47.0,1.881093951,32900
300,48.0,1.942382571,34000
310,47.0,2.004168484,35100
320,47.0,2.066384312,36200
330,50.0,2.126827276,37300
340,49.0,2.190157203,38400
350,52.0,2.254376691,39500
360,58.0,2.318875348,40600
370,53.0,2.38232431,41700
380,54.0,2.443973526,42800
390,54.0,2.507943429,43900
400,56.0,2.569150306,45000
410,53.0,2.629296355,46100
420,53.0,2.690943675,47200
430,54.0,2.751374727,48300
440,53.0,2.810690581,49400
450,56.0,2.869305168,50500
460,54.0,2.930304512,51600
470,57.0,2.99238523,52700
480,53.0,3.04998357,53800
490,53.0,3.10904518,54900
500,56.0,3.168277025,56000
510,56.0,3.227541992,57100
520,57.0,3.287050211,58200
530,52.0,3.345877385,59300
540,53.0,3.403806149,60400
550,53.0,3.46258712,61500
560,53.0,3.520822047,62600
570,54.0,3.580537989,63700
580,53.0,3.64477314,64800
590,52.0,3.711250673,65900
600,56.0,3.769574433,67000
610,53.0,3.827817273,68100
620,56.0,3.886111872,69200
630,58.0,3.945177159,70300
640,55.0,4.004342504,71400
650,53.0,4.063604396,72500
660,57.0,4.122140395,73600
