iterations,fitness,time,fevals
0,15.0,0.000395643,11
10,16.0,0.000679466,21
20,16.0,0.000893472,31
30,16.0,0.001101207,41
40,16.0,0.00130505,51
50,16.0,0.001562674,61
60,16.0,0.001779045,71
70,16.0,0.001986518,81
80,16.0,0.002184667,91
90,16.0,0.002434594,101
100,16.0,0.002565986,111
110,16.0,0.002650156,121
120,16.0,0.002734408,131
130,16.0,0.002824864,141
140,16.0,0.002932491,151
150,16.0,0.00352482,161
160,18.0,0.003621354,171
170,18.0,0.003684814,181
180,18.0,0.003794143,191
190,18.0,0.003888775,201
200,18.0,0.003956592,211
210,18.0,0.004024229,221
220,18.0,0.0040841,231
230,18.0,0.004153517,241
240,18.0,0.004216162,251
250,18.0,0.004281633,261
260,18.0,0.004345257,271
270,18.0,0.004410125,281
280,18.0,0.004483925,291
290,18.0,0.004545163,301
300,18.0,0.00460519,311
310,18.0,0.004667113,321
320,18.0,0.004730003,331
330,18.0,0.004799823,341
340,18.0,0.004869016,351
350,18.0,0.004941723,361
360,18.0,0.00500141,371
370,18.0,0.005069908,381
380,18.0,0.005141862,391
390,18.0,0.005258581,401
400,18.0,0.005314029,411
410,18.0,0.0053831,421
420,18.0,0.005438834,431
430,18.0,0.005538266,441
440,18.0,0.005598058,451
450,18.0,0.005648433,461
460,19.0,0.00570386,471
470,19.0,0.005786044,481
480,19.0,0.005837834,491
490,19.0,0.00588998,501
500,19.0,0.005966906,511
510,19.0,0.006035984,521
520,19.0,0.006095307,531
530,20.0,0.006142418,541
540,20.0,0.006171485,551
550,20.0,0.006198945,561
560,20.0,0.00622603,571
570,20.0,0.006252915,581
580,30.0,0.006280742,591
590,30.0,0.006307183,601
600,30.0,0.006369659,611
610,30.0,0.006396424,621
620,30.0,0.006437875,631
630,32.0,0.006466368,641
640,36.0,0.006493337,651
650,36.0,0.006519581,661
660,36.0,0.006558652,671
670,36.0,0.006584357,681
680,36.0,0.006651103,691
690,36.0,0.00667784,701
700,36.0,0.006705706,711
710,36.0,0.006731876,721
720,36.0,0.006757428,731
730,37.0,0.006784444,741
740,37.0,0.006840733,751
750,37.0,0.006865454,761
760,37.0,0.006925393,771
770,37.0,0.006950719,781
780,37.0,0.006975133,791
790,37.0,0.006999722,801
800,37.0,0.007024429,811
810,37.0,0.007063199,821
820,37.0,0.007091212,831
830,37.0,0.007114259,841
840,37.0,0.007133815,851
850,37.0,0.007152099,861
860,37.0,0.007170646,871
870,37.0,0.007191808,881
880,37.0,0.007209853,891
890,37.0,0.007229297,901
900,37.0,0.007247499,911
910,37.0,0.007281979,921
920,37.0,0.007311254,931
930,38.0,0.007339551,941
940,38.0,0.007359197,951
950,38.0,0.007387806,961
960,38.0,0.007407913,971
970,39.0,0.007427603,981
980,39.0,0.007447779,991
990,39.0,0.007466813,1001
1000,39.0,0.007485606,1011
1010,39.0,0.007504086,1021
1020,39.0,0.007536989,1031
1030,40.0,0.007571319,1041
1040,40.0,0.007592035,1051
1050,40.0,0.007620653,1061
1060,40.0,0.007642641,1071
1070,40.0,0.007671044,1081
1080,40.0,0.007689751,1091
1090,40.0,0.007707913,1101
1100,40.0,0.007758348,1111
1110,42.0,0.007778064,1121
1120,42.0,0.007796064,1131
1130,42.0,0.007815621,1141
1140,42.0,0.007837268,1151
1150,42.0,0.007864801,1161
1160,43.0,0.007885625,1171
1170,44.0,0.007907303,1181
1180,44.0,0.00792578,1191
1190,44.0,0.007944023,1201
1200,45.0,0.007961627,1211
1210,45.0,0.007979881,1221
1220,46.0,0.007998804,1231
1230,46.0,0.008016847,1241
1240,46.0,0.008043806,1251
1250,50.0,0.008062614,1261
1260,50.0,0.008081181,1271
1270,50.0,0.008100951,1281
1280,51.0,0.008120495,1291
1290,52.0,0.008140342,1301
1300,52.0,0.008161787,1311
1310,52.0,0.008182019,1321
1320,52.0,0.008201011,1331
1330,52.0,0.008219723,1341
1340,52.0,0.008237524,1351
1350,52.0,0.008257404,1361
1360,52.0,0.008275105,1371
1370,52.0,0.008302161,1381
1380,53.0,0.008332271,1391
1390,53.0,0.008354517,1401
1400,53.0,0.008372182,1411
1410,54.0,0.008392127,1421
1420,54.0,0.008409561,1431
1430,54.0,0.00844569,1441
1440,54.0,0.008486127,1451
1450,54.0,0.008505884,1461
1460,54.0,0.008531222,1471
1470,54.0,0.008556256,1481
1480,55.0,0.008574499,1491
1490,55.0,0.008593222,1501
1500,55.0,0.008609592,1511
1510,55.0,0.008627784,1521
1520,55.0,0.008644828,1531
1530,55.0,0.008661074,1541
1540,55.0,0.008677681,1551
1550,55.0,0.008695809,1561
1560,55.0,0.008712021,1571
1570,55.0,0.008728767,1581
1580,55.0,0.008745245,1591
1590,55.0,0.008761169,1601
1600,55.0,0.00877708,1611
1610,56.0,0.008793954,1621
1620,58.0,0.008812409,1631
1630,58.0,0.008829015,1641
1640,58.0,0.008848009,1651
1650,58.0,0.008864464,1661
1660,58.0,0.008880842,1671
1670,59.0,0.008897818,1681
1680,59.0,0.008916935,1691
1690,59.0,0.008933523,1701
1700,59.0,0.008949936,1711
1710,59.0,0.008966771,1721
1720,59.0,0.008983335,1731
1730,60.0,0.009000116,1741
