iterations,fitness,time,fevals
0,15.0,1.16059999999e-05,11
10,15.0,2.17269999999e-05,21
20,11.0,3.14389999999e-05,31
30,16.0,4.20349999999e-05,41
40,16.0,5.07479999999e-05,51
50,17.0,6.11169999999e-05,61
60,17.0,6.99839999999e-05,71
70,17.0,7.90369999999e-05,81
80,19.0,8.83419999999e-05,91
90,20.0,9.80919999999e-05,101
100,20.0,0.000107407,111
110,20.0,0.000117298,121
120,20.0,0.000126779,131
130,20.0,0.000137084,141
140,20.0,0.000145045,151
150,20.0,0.00015312,161
160,20.0,0.000162422,171
170,20.0,0.000171983,181
180,21.0,0.000181932,191
190,21.0,0.000191296,201
200,22.0,0.000200275,211
210,22.0,0.000210209,221
220,22.0,0.000221599,231
230,22.0,0.000231423,241
240,22.0,0.000242495,251
250,22.0,0.000251889,261
260,22.0,0.000261747,271
270,25.0,0.000270729,281
280,25.0,0.000280645,291
290,25.0,0.000288943,301
300,25.0,0.00029846,311
310,25.0,0.000309405000001,321
320,25.0,0.000317836,331
330,25.0,0.000327383,341
340,25.0,0.000337034000001,351
350,25.0,0.000346620000001,361
360,25.0,0.000356494,371
370,26.0,0.000364647,381
380,26.0,0.000373801000001,391
390,26.0,0.000382484000001,401
400,26.0,0.000391116,411
410,26.0,0.000400408,421
420,26.0,0.000409631,431
430,26.0,0.000418136,441
440,27.0,0.000427389,451
450,27.0,0.000437172,461
460,27.0,0.000447418,471
470,28.0,0.000456514,481
480,28.0,0.000465891,491
490,28.0,0.000474687000001,501
500,28.0,0.000482776,511
510,28.0,0.000492516,521
520,28.0,0.000501615,531
530,28.0,0.000550814,541
540,28.0,0.000558953,551
550,28.0,0.000568459,561
560,28.0,0.000578381000001,571
570,28.0,0.000587610000001,581
580,28.0,0.00059598,591
590,28.0,0.000604589,601
600,28.0,0.000615477000001,611
610,28.0,0.000624821,621
620,28.0,0.000634004,631
630,28.0,0.000643788,641
640,28.0,0.00065472,651
650,28.0,0.000662714,661
660,28.0,0.000673062,671
670,28.0,0.000681348,681
680,28.0,0.000691529,691
690,28.0,0.000700089,701
700,31.0,0.000709769,711
710,31.0,0.000719893,721
720,31.0,0.000728245,731
730,31.0,0.0007382,741
740,31.0,0.000748663,751
750,31.0,0.000758619,761
760,31.0,0.000768039,771
770,32.0,0.000777243,781
780,33.0,0.000786882,791
790,33.0,0.000796061,801
800,34.0,0.000803571,811
810,34.0,0.000812559,821
820,34.0,0.000821968,831
830,34.0,0.000830442,841
840,34.0,0.000839708,851
850,35.0,0.000848256,861
860,35.0,0.000856893,871
870,35.0,0.000865903,881
880,35.0,0.000873888,891
890,35.0,0.00088221,901
900,35.0,0.000891876,911
910,35.0,0.000900377,921
920,35.0,0.000909133,931
930,36.0,0.000918392,941
940,36.0,0.000928356,951
950,36.0,0.000937438,961
960,36.0,0.000946738,971
970,36.0,0.000955334,981
980,36.0,0.000964753,991
990,36.0,0.000974282,1001
1000,36.0,0.000983666,1011
1010,36.0,0.000992466,1021
1020,37.0,0.001002072,1031
1030,37.0,0.001010897,1041
1040,37.0,0.001019948,1051
1050,37.0,0.001028893,1061
1060,37.0,0.001037915,1071
1070,37.0,0.001047031,1081
1080,37.0,0.00105719,1091
1090,37.0,0.001066697,1101
1100,37.0,0.00107583,1111
1110,37.0,0.001084752,1121
1120,37.0,0.001093978,1131
1130,37.0,0.001102887,1141
1140,37.0,0.001112209,1151
1150,37.0,0.001121732,1161
1160,37.0,0.001131671,1171
1170,37.0,0.001141101,1181
1180,37.0,0.001151001,1191
1190,37.0,0.001159147,1201
1200,37.0,0.001168622,1211
1210,37.0,0.001177917,1221
1220,37.0,0.00118744,1231
1230,38.0,0.001198812,1241
1240,41.0,0.00120846,1251
1250,41.0,0.001220678,1261
1260,41.0,0.001234226,1271
1270,41.0,0.001245803,1281
1280,41.0,0.001257689,1291
1290,41.0,0.001271066,1301
1300,41.0,0.001282245,1311
1310,41.0,0.00129407,1321
1320,41.0,0.001304998,1331
1330,41.0,0.001315551,1341
1340,41.0,0.001326055,1351
1350,41.0,0.001338258,1361
1360,41.0,0.001348957,1371
1370,41.0,0.001359262,1381
1380,41.0,0.001370849,1391
1390,41.0,0.001383582,1401
1400,41.0,0.001394086,1411
1410,41.0,0.001402283,1421
1420,41.0,0.001413257,1431
1430,41.0,0.001427925,1441
1440,41.0,0.001440526,1451
1450,41.0,0.001451076,1461
1460,41.0,0.001463432,1471
1470,41.0,0.001472491,1481
1480,41.0,0.00148142,1491
1490,41.0,0.001491107,1501
1500,41.0,0.001500853,1511
1510,41.0,0.001514387,1521
1520,41.0,0.001527321,1531
1530,41.0,0.001536924,1541
1540,41.0,0.001546482,1551
1550,41.0,0.001556477,1561
1560,41.0,0.00157035,1571
1570,41.0,0.001582516,1581
1580,41.0,0.001596164,1591
1590,41.0,0.001608013,1601
1600,41.0,0.001620137,1611
1610,41.0,0.001633394,1621
1620,41.0,0.001643071,1631
1630,41.0,0.001653356,1641
1640,41.0,0.001663268,1651
1650,41.0,0.001674295,1661
1660,42.0,0.001687162,1671
1670,42.0,0.001698987,1681
1680,42.0,0.001709309,1691
1690,42.0,0.001718855,1701
1700,42.0,0.001729466,1711
1710,42.0,0.001739214,1721
1720,43.0,0.001752004,1731
1730,43.0,0.001764547,1741
1740,43.0,0.001775956,1751
1750,43.0,0.001789659,1761
1760,43.0,0.001799445,1771
1770,43.0,0.001811733,1781
1780,43.0,0.001826801,1791
1790,43.0,0.001835669,1801
1800,43.0,0.001847375,1811
1810,43.0,0.00185767,1821
1820,43.0,0.001870737,1831
1830,43.0,0.001881501,1841
1840,43.0,0.001892853,1851
