iterations,fitness,time,fevals
0,524.0,0.002853638,554
10,540.0,0.005248247,1002
20,550.0,0.007485632,1461
30,552.0,0.009475733,1907
40,557.0,0.011545513,2363
50,559.0,0.013423291,2813
60,559.0,0.015282767,3279
70,565.0,0.017146989,3737
80,562.0,0.019264004,4193
90,560.0,0.021085792,4648
100,564.0,0.022926979,5108
110,578.0,0.024810379,5573
120,568.0,0.026519499,6028
130,564.0,0.028284603,6498
140,560.0,0.029999351,6960
150,558.0,0.031823291,7402
160,562.0,0.03367593,7859
170,556.0,0.035377758,8315
180,556.0,0.037107458,8771
190,566.0,0.038878543,9228
200,564.0,0.040558256,9670
210,562.0,0.042272823,10129
220,564.0,0.044084844,10589
230,566.0,0.045934455,11046
240,566.0,0.047758912,11502
250,572.0,0.049601623,11952
260,570.0,0.05124369,12414
270,570.0,0.052968873,12875
280,570.0,0.054720043,13329
290,572.0,0.056404023,13790
300,572.0,0.058171636,14234
310,576.0,0.059930505,14692
320,580.0,0.061618796,15146
330,580.0,0.063421912,15621
340,586.0,0.065234009,16064
350,586.0,0.066891194,16527
360,578.0,0.068663014,16990
370,578.0,0.070435759,17450
380,580.0,0.072185814,17904
390,580.0,0.073829002,18366
400,580.0,0.075887997,18821
410,584.0,0.077686955,19299
420,586.0,0.079306719,19760
430,586.0,0.081012107,20218
440,586.0,0.082757628,20672
450,584.0,0.084382906,21124
460,584.0,0.086079351,21567
470,584.0,0.087854447,22026
480,586.0,0.089590349,22494
490,588.0,0.091432389,22952
500,586.0,0.093341676,23407
510,586.0,0.095111487,23877
520,590.0,0.09683941,24334
530,586.0,0.098562698,24783
540,586.0,0.100327265,25228
550,588.0,0.102026387,25693
560,588.0,0.103909742,26156
570,588.0,0.105771076,26615
580,588.0,0.107545399,27087
590,592.0,0.1092291,27531
600,594.0,0.111053149,27973
610,592.0,0.112765808,28435
620,594.0,0.114534167,28881
630,590.0,0.116278007,29337
640,594.0,0.118063581,29802
650,592.0,0.119759012,30247
660,594.0,0.12159515,30701
670,598.0,0.125895033,31157
680,598.0,0.127630397,31617
690,598.0,0.129569976,32074
700,600.0,0.13125725,32515
710,608.0,0.133050832,32982
720,612.0,0.134907516,33439
730,606.0,0.136881439,33889
740,604.0,0.138534007,34330
750,606.0,0.140221709,34784
760,604.0,0.142031081,35249
770,610.0,0.143741673,35707
780,604.0,0.145425984,36166
790,606.0,0.14723308,36625
800,604.0,0.148889452,37073
810,600.0,0.150558116,37529
820,600.0,0.1523035,37990
830,600.0,0.153997817,38449
840,604.0,0.155822607,38915
850,602.0,0.157486196,39353
860,604.0,0.159231887,39809
870,604.0,0.160951227,40268
880,602.0,0.162854618,40724
890,604.0,0.164733296,41177
900,602.0,0.16647463,41646
910,596.0,0.168181378,42100
920,594.0,0.169994273,42550
930,598.0,0.17171477,43011
940,600.0,0.17340678,43475
950,598.0,0.175162653,43928
960,598.0,0.176948108,44383
970,592.0,0.17861976,44833
980,590.0,0.180354438,45300
990,592.0,0.182126273,45764
1000,598.0,0.183854596,46207
1010,596.0,0.185619024,46663
1020,594.0,0.18742577,47103
1030,598.0,0.18927102,47558
1040,600.0,0.191292599,48020
1050,602.0,0.193080523,48475
1060,598.0,0.194856059,48930
1070,602.0,0.196576607,49384
1080,594.0,0.198385287,49850
1090,592.0,0.200151045,50317
1100,588.0,0.201923742,50769
1110,588.0,0.203573623,51221
1120,590.0,0.205335141,51666
1130,588.0,0.207228023,52139
1140,588.0,0.208906167,52600
1150,592.0,0.210551732,53047
1160,592.0,0.212391334,53510
1170,590.0,0.214093225,53970
1180,592.0,0.215869257,54434
1190,594.0,0.217650344,54893
1200,590.0,0.219467137,55358
1210,594.0,0.221274334,55813
1220,584.0,0.223035361,56277
1230,584.0,0.224712977,56725
1240,584.0,0.226489267,57189
1250,586.0,0.228159398,57642
1260,588.0,0.22995981,58092
1270,588.0,0.231603762,58543
1280,588.0,0.233272978,58992
1290,588.0,0.235033804,59439
1300,592.0,0.236696725,59885
1310,588.0,0.238362007,60342
1320,588.0,0.240064071,60803
1330,580.0,0.241829366,61258
1340,580.0,0.243500226,61734
1350,584.0,0.245306925,62183
1360,582.0,0.247296388,62625
1370,582.0,0.249165231,63080
1380,582.0,0.250944939,63531
1390,582.0,0.252657,63991
1400,580.0,0.254473177,64447
1410,582.0,0.256213898,64897
1420,586.0,0.257963943,65350
1430,588.0,0.259719863,65804
1440,590.0,0.261354925,66263
1450,590.0,0.263130072,66720
1460,584.0,0.265027068,67186
1470,584.0,0.266792386,67644
1480,582.0,0.268446665,68089
1490,582.0,0.270162463,68546
1500,582.0,0.271881768,69000
1510,584.0,0.273532767,69459
1520,586.0,0.275226377,69928
1530,586.0,0.276987396,70367
1540,588.0,0.278719147,70813
1550,588.0,0.280554508,71258
1560,590.0,0.282201604,71715
1570,588.0,0.283834496,72178
1580,586.0,0.285495116,72628
1590,584.0,0.287177847,73077
1600,586.0,0.288954475,73546
1610,590.0,0.290650763,74004
1620,586.0,0.29239351,74457
1630,588.0,0.294122741,74905
1640,586.0,0.295857883,75369
1650,585.0,0.297614553,75824
1660,580.0,0.299371919,76269
1670,582.0,0.301000353,76718
1680,580.0,0.30276312,77176
1690,582.0,0.304521434,77636
1700,584.0,0.306344445,78092
1710,586.0,0.308219263,78545
1720,578.0,0.309877597,78998
1730,576.0,0.311587668,79455
1740,570.0,0.313299467,79912
1750,574.0,0.31493858,80364
1760,572.0,0.316766137,80824
1770,576.0,0.318447642,81288
1780,574.0,0.320174146,81755
1790,576.0,0.321898892,82196
1800,574.0,0.323839067,82650
1810,578.0,0.325484269,83102
1820,576.0,0.327214321,83548
1830,578.0,0.328976092,83998
1840,578.0,0.330639476,84452
1850,580.0,0.332347536,84903
1860,578.0,0.334050971,85357
1870,576.0,0.335789222,85816
1880,578.0,0.337718452,86263
1890,578.0,0.339456995,86712
1900,576.0,0.341141776,87163
1910,578.0,0.342785616,87618
1920,578.0,0.344461165,88075
1930,576.0,0.346240876,88529
1940,580.0,0.347879127,88999
1950,574.0,0.349534638,89456
1960,574.0,0.351261471,89910
1970,574.0,0.352913061,90365
1980,578.0,0.35456043,90814
1990,570.0,0.356261645,91266
2000,568.0,0.357927939,91710
2010,570.0,0.359618481,92182
2020,570.0,0.361256415,92638
2030,572.0,0.363084469,93075
2040,572.0,0.364995341,93527
2050,574.0,0.36691952,93990
2060,574.0,0.368624783,94463
2070,580.0,0.370419323,94924
2080,582.0,0.372075894,95384
2090,580.0,0.373853229,95818
2100,576.0,0.375627173,96281
2110,574.0,0.377336727,96744
2120,574.0,0.379062054,97206
2130,574.0,0.38096788,97657
2140,578.0,0.382758222,98119
2150,578.0,0.384428259,98571
2160,576.0,0.386212134,99039
2170,574.0,0.387956434,99509
2180,574.0,0.389699202,99967
2190,578.0,0.391381455,100414
2200,576.0,0.393163701,100868
2210,576.0,0.394817153,101316
2220,576.0,0.396727394,101779
2230,580.0,0.398411099,102229
2240,572.0,0.400096971,102677
2250,570.0,0.401826845,103133
2260,570.0,0.403599711,103593
2270,572.0,0.405279944,104065
2280,572.0,0.407014258,104515
2290,572.0,0.40879666,104983
2300,572.0,0.410472705,105436
2310,572.0,0.412149759,105892
2320,570.0,0.413896995,106346
2330,570.0,0.41556678,106792
2340,568.0,0.4172499,107267
2350,570.0,0.418956677,107722
2360,574.0,0.42393458,108181
2370,572.0,0.425625909,108635
2380,572.0,0.427425708,109107
2390,570.0,0.429172145,109545
2400,570.0,0.430805072,109994
2410,572.0,0.432533913,110447
2420,574.0,0.434163445,110914
2430,574.0,0.435771171,111354
2440,574.0,0.437481333,111833
2450,574.0,0.439393956,112290
2460,576.0,0.44100232,112742
2470,574.0,0.442704552,113208
2480,572.0,0.444435595,113677
2490,574.0,0.446112044,114139
2500,572.0,0.447859223,114586
2510,572.0,0.449590508,115031
2520,568.0,0.451279731,115503
2530,572.0,0.453118752,115944
2540,566.0,0.454896415,116398
2550,564.0,0.45662041,116862
2560,566.0,0.45826603,117307
2570,566.0,0.459971291,117761
2580,564.0,0.461739152,118219
2590,562.0,0.463382991,118679
2600,564.0,0.465098327,119133
2610,566.0,0.466833054,119580
2620,566.0,0.468503447,120032
2630,564.0,0.470167874,120495
2640,566.0,0.471958199,120955
2650,564.0,0.473610933,121405
2660,564.0,0.475311132,121863
2670,566.0,0.477033389,122321
2680,570.0,0.478867811,122779
2690,566.0,0.480796934,123227
2700,574.0,0.48263481,123701
2710,572.0,0.48443293,124160
2720,574.0,0.486327995,124605
2730,566.0,0.4880875,125060
2740,566.0,0.489877893,125525
2750,570.0,0.491643431,125980
2760,570.0,0.493377769,126442
2770,568.0,0.495114217,126897
2780,570.0,0.497077073,127355
2790,568.0,0.498767618,127807
2800,572.0,0.500423344,128257
2810,570.0,0.502198385,128716
2820,574.0,0.503949061,129173
2830,576.0,0.50566344,129632
2840,574.0,0.507483851,130091
2850,575.0,0.509384019,130528
2860,578.0,0.511124802,130985
2870,574.0,0.512957478,131439
2880,573.0,0.514654737,131890
2890,579.0,0.51627751,132350
2900,572.0,0.518002804,132809
2910,578.0,0.51988331,133250
2920,576.0,0.52153658,133704
2930,576.0,0.523205085,134164
2940,574.0,0.525029015,134615
2950,578.0,0.526789609,135080
2960,572.0,0.528495092,135522
2970,574.0,0.530255863,135976
2980,579.0,0.532019699,136435
2990,578.0,0.533644796,136889
3000,576.0,0.535355727,137332
