iterations,fitness,time,fevals
0,557.0,8.506423425,1000
10,578.0,16.732210419,2100
20,618.0,24.706216765,3200
30,660.0,32.287412999,4300
40,687.0,39.554174772,5400
50,709.0,46.612305498,6500
60,741.0,53.429209301,7600
70,743.0,60.114396391,8700
80,761.0,66.694910411,9800
90,767.0,73.135024549,10900
100,775.0,79.490245039,12000
110,775.0,85.849122097,13100
120,769.0,92.336581443,14200
130,777.0,98.721182027,15300
140,773.0,105.003956196,16400
150,781.0,111.349020994,17500
160,771.0,117.68978364,18600
170,779.0,124.006632715,19700
180,777.0,130.285628893,20800
190,781.0,136.663545877,21900
200,777.0,143.034226483,23000
210,777.0,149.352523255,24100
220,779.0,155.726157384,25200
230,773.0,162.121255134,26300
240,777.0,168.417125713,27400
250,781.0,174.750003253,28500
260,779.0,180.995399618,29600
270,779.0,187.220475451,30700
280,779.0,193.578655169,31800
290,773.0,199.868031839,32900
300,771.0,206.249744056,34000
310,771.0,212.750642595,35100
320,781.0,219.22397301,36200
330,777.0,225.496885984,37300
340,771.0,231.830545856,38400
350,773.0,238.355977981,39500
360,771.0,244.879062433,40600
370,777.0,251.210122589,41700
380,783.0,257.533217591,42800
390,785.0,263.925602361,43900
400,783.0,270.215756074,45000
410,777.0,276.592615073,46100
420,789.0,282.957777711,47200
430,781.0,289.288013156,48300
440,779.0,295.680995133,49400
450,783.0,302.045322652,50500
460,777.0,308.466638282,51600
470,783.0,314.872624031,52700
480,789.0,321.202519609,53800
490,785.0,327.503038091,54900
500,783.0,333.813215021,56000
510,783.0,340.087015294,57100
520,789.0,346.394618029,58200
530,783.0,352.637639637,59300
540,779.0,359.011107218,60400
550,783.0,365.394469597,61500
560,787.0,371.714610815,62600
570,785.0,378.158976511,63700
580,781.0,384.569163108,64800
590,787.0,390.938218958,65900
600,791.0,397.298533775,67000
610,785.0,403.659062969,68100
620,787.0,410.070834114,69200
630,783.0,416.457932378,70300
640,789.0,422.830376282,71400
650,791.0,429.187630896,72500
660,789.0,435.531734756,73600
670,789.0,441.848643098,74700
680,785.0,448.178114355,75800
690,793.0,454.514319413,76900
700,791.0,460.79346627,78000
710,789.0,467.136845057,79100
720,787.0,473.493754089,80200
730,791.0,479.770215837,81300
740,791.0,486.063600764,82400
750,791.0,492.353524801,83500
760,789.0,498.741129102,84600
770,791.0,505.05255842,85700
780,789.0,511.408812429,86800
790,789.0,517.769527985,87900
800,791.0,524.236326908,89000
810,795.0,530.717710414,90100
820,795.0,537.152683054,91200
830,795.0,543.570606627,92300
840,793.0,549.96020129,93400
850,789.0,556.232286846,94500
