iterations,fitness,time,fevals
0,510.0,8.3798e-05,11
10,512.0,0.000156146,21
20,512.0,0.000235003,31
30,512.0,0.000308436,41
40,512.0,0.000357659,51
50,512.0,0.00040556,61
60,514.0,0.000452926,71
70,514.0,0.000519977,81
80,518.0,0.00056847,91
90,518.0,0.000615738,101
100,520.0,0.000665665,111
110,522.0,0.000714071,121
120,524.0,0.000761289,131
130,524.0,0.00080924,141
140,526.0,0.000865795,151
150,530.0,0.000914392,161
160,530.0,0.00096546,171
170,532.0,0.001014039,181
180,534.0,0.00106225,191
190,536.0,0.001110015,201
200,540.0,0.001157194,211
210,544.0,0.001206831,221
220,548.0,0.001254132,231
230,552.0,0.001301784,241
240,554.0,0.001365864,251
250,554.0,0.001415994,261
260,556.0,0.001463051,271
270,558.0,0.001509815,281
280,558.0,0.001558981,291
290,560.0,0.001605935,301
300,560.0,0.001656425,311
310,564.0,0.001704439,321
320,570.0,0.001770994,331
330,572.0,0.001844194,341
340,576.0,0.001916336,351
350,580.0,0.001994545,361
360,582.0,0.002070616,371
370,582.0,0.002144073,381
380,584.0,0.002236109,391
390,584.0,0.002307891,401
400,586.0,0.002379751,411
410,588.0,0.002450911,421
420,590.0,0.002522558,431
430,590.0,0.002593355,441
440,590.0,0.002664251,451
450,592.0,0.002736861,461
460,594.0,0.002817922,471
470,594.0,0.002888082,481
480,594.0,0.002964665,491
490,596.0,0.003035929,501
500,598.0,0.003107816,511
510,598.0,0.003159897,521
520,600.0,0.003210381,531
530,602.0,0.003260123,541
540,602.0,0.003308438,551
550,606.0,0.00335503,561
560,610.0,0.003400883,571
570,610.0,0.003447942,581
580,612.0,0.003495444,591
590,614.0,0.003544813,601
600,618.0,0.003596489,611
610,618.0,0.003643652,621
620,618.0,0.003689427,631
630,620.0,0.003734692,641
640,622.0,0.003781759,651
650,622.0,0.003828664,661
660,622.0,0.003875774,671
670,624.0,0.003923454,681
680,624.0,0.003969958,691
690,626.0,0.004015428,701
700,626.0,0.004062301,711
710,626.0,0.004109942,721
720,626.0,0.004162922,731
730,628.0,0.004212855,741
740,628.0,0.004262167,751
750,628.0,0.004309031,761
760,630.0,0.004354615,771
770,630.0,0.004401415,781
780,630.0,0.004448144,791
790,630.0,0.004496147,801
800,632.0,0.004545778,811
810,632.0,0.004593944,821
820,632.0,0.004639983,831
830,634.0,0.004687183,841
840,634.0,0.004751517,851
850,634.0,0.004798117,861
860,636.0,0.004847026,871
870,636.0,0.004916353,881
