iterations,fitness,time,fevals
0,508.0,3.5821e-05,11
10,508.0,5.93820000001e-05,21
20,508.0,8.13780000002e-05,31
30,508.0,0.000103373,41
40,508.0,0.000126763,51
50,510.0,0.000149342,61
60,514.0,0.000174283,71
70,516.0,0.000197435,81
80,518.0,0.000220053,91
90,520.0,0.000243015,101
100,520.0,0.000265938,111
110,520.0,0.000287154,121
120,522.0,0.00030771,131
130,522.0,0.000329666,141
140,524.0,0.0003692,151
150,524.0,0.000391941,161
160,524.0,0.000413442,171
170,526.0,0.000436423,181
180,532.0,0.000459192,191
190,536.0,0.000482136,201
200,544.0,0.000503963,211
210,546.0,0.000525569,221
220,550.0,0.000547805000001,231
230,554.0,0.000570463,241
240,554.0,0.000593116,251
250,556.0,0.000619551,261
260,562.0,0.000641215000001,271
270,564.0,0.000662428,281
280,570.0,0.000685355000001,291
290,570.0,0.000707331000001,301
300,572.0,0.000731877000001,311
310,572.0,0.000753769000001,321
320,572.0,0.00077588,331
330,576.0,0.00080697,341
340,578.0,0.000838674000001,351
350,580.0,0.000860669000001,361
360,582.0,0.000883319000001,371
370,586.0,0.000904979000001,381
380,590.0,0.000925691000001,391
390,592.0,0.000946995000001,401
400,592.0,0.000970509000001,411
410,594.0,0.000992812000001,421
420,596.0,0.001016737,431
430,598.0,0.001039249,441
440,600.0,0.001061987,451
450,600.0,0.001085743,461
460,600.0,0.001110548,471
470,600.0,0.001132971,481
480,600.0,0.001155163,491
490,602.0,0.001176479,501
500,602.0,0.001199203,511
510,602.0,0.001220616,521
520,602.0,0.001243508,531
530,602.0,0.001263773,541
540,608.0,0.001285636,551
550,609.0,0.001305955,561
560,611.0,0.001327846,571
570,613.0,0.001350788,581
580,617.0,0.00137266,591
590,619.0,0.001394408,601
600,619.0,0.001417767,611
610,619.0,0.001439397,621
620,619.0,0.001461322,631
630,621.0,0.001482902,641
640,623.0,0.001505361,651
650,627.0,0.001526774,661
660,627.0,0.001548988,671
670,627.0,0.001570856,681
680,629.0,0.001593445,691
690,629.0,0.001615627,701
700,631.0,0.001636726,711
710,633.0,0.001659385,721
720,637.0,0.001683188,731
730,637.0,0.001713024,741
740,637.0,0.001743871,751
750,637.0,0.001773936,761
760,637.0,0.00180568,771
770,639.0,0.001835767,781
780,641.0,0.001866835,791
790,641.0,0.001901562,801
800,643.0,0.001930164,811
810,643.0,0.001960658,821
820,643.0,0.001993451,831
830,643.0,0.002029797,841
840,643.0,0.002060816,851
850,645.0,0.002090647,861
860,647.0,0.002118612,871
870,649.0,0.00215061,881
880,651.0,0.002180271,891
890,653.0,0.00220884,901
900,653.0,0.002238681,911
910,655.0,0.002271727,921
920,655.0,0.002302755,931
930,655.0,0.002331513,941
940,657.0,0.002359201,951
950,659.0,0.002386514,961
960,661.0,0.002415082,971
970,661.0,0.002444398,981
980,661.0,0.002471896,991
990,661.0,0.002500289,1001
1000,661.0,0.002528414,1011
1010,661.0,0.002556798,1021
1020,661.0,0.002586416,1031
1030,663.0,0.002613572,1041
1040,663.0,0.002641602,1051
1050,663.0,0.002669114,1061
1060,663.0,0.002697381,1071
1070,665.0,0.002724575,1081
1080,665.0,0.002752962,1091
1090,665.0,0.002780619,1101
1100,665.0,0.002809854,1111
1110,667.0,0.0028363,1121
1120,669.0,0.002863908,1131
1130,669.0,0.002891264,1141
1140,669.0,0.002917755,1151
1150,671.0,0.002946469,1161
1160,671.0,0.002974181,1171
1170,677.0,0.002999649,1181
1180,679.0,0.003027569,1191
1190,679.0,0.003055863,1201
1200,681.0,0.003084024,1211
1210,683.0,0.00311072,1221
1220,683.0,0.003139542,1231
1230,683.0,0.003166625,1241
1240,683.0,0.003193383,1251
1250,683.0,0.003222332,1261
1260,683.0,0.003249504,1271
1270,687.0,0.003276234,1281
1280,687.0,0.003307672,1291
1290,687.0,0.003334657,1301
1300,687.0,0.003362655,1311
1310,687.0,0.00339727,1321
1320,687.0,0.003426185,1331
1330,687.0,0.003452662,1341
1340,687.0,0.003480587,1351
1350,687.0,0.003508896,1361
1360,687.0,0.003537632,1371
1370,687.0,0.003566318,1381
1380,689.0,0.003594845,1391
1390,689.0,0.003623627,1401
1400,691.0,0.003651406,1411
1410,693.0,0.003678567,1421
1420,693.0,0.003706244,1431
1430,693.0,0.003735804,1441
1440,695.0,0.003764192,1451
1450,695.0,0.003798153,1461
1460,697.0,0.00382686,1471
1470,699.0,0.00385475,1481
1480,699.0,0.003884661,1491
1490,699.0,0.003913675,1501
1500,699.0,0.00394194,1511
1510,699.0,0.003970334,1521
1520,701.0,0.003998941,1531
1530,701.0,0.004027636,1541
1540,701.0,0.004057309,1551
1550,703.0,0.004086344,1561
1560,703.0,0.004116101,1571
1570,705.0,0.004145319,1581
1580,707.0,0.004174522,1591
1590,707.0,0.004203261,1601
1600,709.0,0.004231576,1611
1610,709.0,0.004274574,1621
1620,709.0,0.004311294,1631
1630,713.0,0.004340822,1641
1640,713.0,0.004374135,1651
1650,715.0,0.004404261,1661
1660,715.0,0.004433325,1671
1670,717.0,0.004462531,1681
1680,717.0,0.004493428,1691
1690,717.0,0.004532433,1701
1700,718.0,0.004570276,1711
1710,718.0,0.004599713,1721
1720,718.0,0.004629671,1731
1730,720.0,0.004661955,1741
1740,722.0,0.004691883,1751
1750,722.0,0.004724024,1761
1760,724.0,0.00475248,1771
1770,724.0,0.004782167,1781
1780,724.0,0.004814374,1791
1790,724.0,0.004844808,1801
1800,724.0,0.004874157,1811
1810,724.0,0.004902689,1821
