iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0574134474,0.057583645,0.0572601603,0.8924393225,0.8959497207,0.8910614525,0.5655853315,0.5668604651,0.5547945205,0.097742349
10,0.0087829092,0.0103045107,0.0092111173,0.9780862581,0.9745111732,0.9768156425,0.8739326971,0.8542914172,0.8646003263,0.494529966
20,0.0079188201,0.0097727994,0.0083934656,0.9800942902,0.9769553073,0.9779329609,0.8873517787,0.868,0.8711256117,0.859639926
30,0.0076080715,0.0094631564,0.0081724041,0.9810546534,0.9773044693,0.9796089385,0.893575282,0.8722986248,0.8816855754,1.227887499
40,0.0074936577,0.0094290144,0.0080770402,0.9809673477,0.9769553073,0.9801675978,0.8932419197,0.8700787402,0.8849270665,1.594687632
50,0.0073487201,0.0093788816,0.0079752404,0.9813165706,0.9773044693,0.9793296089,0.8946850394,0.8712871287,0.8802588997,1.965085522
60,0.0072437284,0.0093775075,0.007830582,0.9815784879,0.9769553073,0.9810055866,0.8963144963,0.869047619,0.8903225806,2.375684948
70,0.0071846988,0.0094252814,0.0077790481,0.9819277108,0.9776536313,0.9810055866,0.8978786384,0.8725099602,0.8899676375,2.746897919
80,0.0071480751,0.0094050417,0.0077229659,0.9821023223,0.9776536313,0.9815642458,0.8991637973,0.8725099602,0.8935483871,3.108698112
90,0.0071266234,0.0093850473,0.0077021432,0.9826261568,0.9773044693,0.9812849162,0.9023073147,0.8707753479,0.8921095008,3.472895218
100,0.0071016004,0.0093802506,0.0076999272,0.9820150166,0.9773044693,0.9815642458,0.8982213439,0.8707753479,0.8935483871,3.845823347
110,0.0070764386,0.0093730164,0.007695026,0.9822769338,0.9769553073,0.980726257,0.899851998,0.8685258964,0.8892455859,4.226537255
120,0.0070597111,0.0093703269,0.0077146822,0.9823642396,0.9769553073,0.9801675978,0.9003944773,0.869047619,0.886035313,4.592951354
130,0.007034571,0.0093202034,0.007731902,0.9821896281,0.9769553073,0.9801675978,0.8996062992,0.869047619,0.8864,4.962355859
