iterations,fitness,time,fevals
0,0.0242570166401,2.305901516,1000
10,0.0236509620266,4.6050406,2100
20,0.0237297888939,6.909273622,3200
30,0.0235818955697,9.206847178,4300
40,0.024597535572,11.507777405,5400
50,0.0240122780561,13.797595612,6500
60,0.0246978928005,16.093946662,7600
70,0.0266794879213,18.40238621,8700
80,0.0244127130816,20.703662457,9800
90,0.0255245973446,23.011156698,10900
100,0.0248379106411,25.337601143,12000
110,0.024396125043,27.648121551,13100
120,0.0248308620632,29.95429758,14200
130,0.0244909573253,32.245702972,15300
140,0.0239698297074,34.553438262,16400
150,0.0247633167245,36.859610075,17500
160,0.0250333330776,39.160174641,18600
170,0.024052957576,41.4637339,19700
180,0.0240073339955,43.764499132,20800
190,0.0237810658588,46.066432675,21900
200,0.0235773974318,48.365233169,23000
210,0.024435167458,50.682207264,24100
220,0.0255780067162,52.989012428,25200
230,0.0243101097784,55.290655608,26300
240,0.0256731894323,57.596982841,27400
250,0.0248083128199,59.905510457,28500
260,0.0249812987266,62.205686022,29600
270,0.0254075393231,64.523204602,30700
280,0.0252790616747,66.834452549,31800
290,0.0244068815455,69.134775066,32900
300,0.0251690260011,71.438487476,34000
310,0.0235631076745,73.735477679,35100
320,0.0235355319592,76.053941817,36200
330,0.0242658801517,78.376567487,37300
340,0.0248196382581,80.675691235,38400
350,0.0259407257004,82.979452378,39500
360,0.0248713990274,85.283284075,40600
370,0.0253108281004,87.591390612,41700
380,0.0247443110591,89.894601752,42800
390,0.0257929790912,92.20672389,43900
400,0.0236013800481,94.503349671,45000
410,0.0248618066979,96.803448749,46100
420,0.0228918342022,99.111043601,47200
430,0.0244824142369,101.432348473,48300
440,0.024158179522,103.727497099,49400
450,0.0237317440174,106.033292598,50500
460,0.0249994357659,108.363749337,51600
470,0.0244650636031,110.652903961,52700
480,0.0235357168843,112.971195176,53800
490,0.023595855076,115.266555182,54900
500,0.0237701889149,117.572336585,56000
510,0.0242607925865,119.87763374,57100
520,0.0239902410136,122.196156567,58200
530,0.024517661502,124.484806741,59300
540,0.023823588051,126.781169514,60400
550,0.0237066766125,129.083076163,61500
560,0.0249696218761,131.393690158,62600
570,0.0244863655151,133.693734221,63700
580,0.0230881993885,135.992457543,64800
590,0.0242356073309,138.31698866,65900
600,0.0243621281486,140.62473208,67000
610,0.0251353433769,142.931106175,68100
620,0.0235098970569,145.226758795,69200
630,0.0242736236097,147.537597018,70300
640,0.024051513471,149.838079654,71400
650,0.0238934883248,152.143759513,72500
660,0.0233793977768,154.450232047,73600
670,0.0245109637844,156.773626669,74700
680,0.0257585739198,159.073645767,75800
690,0.0251018980485,161.386425736,76900
700,0.0239180071354,163.684435809,78000
710,0.0254413630684,165.984394169,79100
720,0.0237610305005,168.288596199,80200
730,0.02355828778,170.610798605,81300
740,0.0234628170462,172.91903589,82400
750,0.0255202350705,175.21858403,83500
760,0.024220042403,177.519395683,84600
770,0.0248047953289,179.828046294,85700
780,0.0239238233916,182.137203968,86800
790,0.0248297910381,184.443940008,87900
800,0.0241221063552,186.739065,89000
810,0.0243463493377,189.040957814,90100
820,0.023675447072,191.348406715,91200
830,0.024838819617,193.64564312,92300
840,0.0245384828875,195.95194234,93400
850,0.02354831758,198.259070358,94500
860,0.0245614973518,200.566902268,95600
870,0.0250144704131,202.868003263,96700
880,0.0238232504655,205.164341676,97800
890,0.0244453044168,207.462484141,98900
900,0.0244431405934,209.800179317,100000
910,0.0241326624614,212.097745901,101100
920,0.0235290431283,214.413541315,102200
930,0.0241067909137,216.708384423,103300
940,0.0239928860641,218.99699913,104400
950,0.0239189516143,221.300157841,105500
960,0.0256751297588,223.600677084,106600
970,0.0249084467671,225.898817293,107700
980,0.0243402817843,228.213041755,108800
990,0.0249214695011,230.525813683,109900
1000,0.0239790819947,232.825027108,111000
1010,0.0249137357654,235.132391959,112100
1020,0.0242082286614,237.435744297,113200
1030,0.0237628429791,239.743324329,114300
1040,0.024158725851,242.035684058,115400
1050,0.0240140450917,244.331302118,116500
1060,0.0253332182827,246.682643375,117600
1070,0.0241078330387,248.99130986,118700
1080,0.0248076422625,251.301385395,119800
1090,0.0241506119665,253.604199651,120900
1100,0.0236316383296,255.905691428,122000
1110,0.0240881991013,258.218981572,123100
1120,0.0240482197051,260.522363001,124200
1130,0.0239630616408,262.822936087,125300
1140,0.0234770920305,265.124128015,126400
1150,0.0239889812178,267.423884982,127500
1160,0.0251774425541,269.728449802,128600
1170,0.0243314756808,272.028118966,129700
1180,0.0232542790205,274.331953408,130800
1190,0.0244561570044,276.630356496,131900
1200,0.024008181651,278.935536438,133000
1210,0.0244345214189,281.236878196,134100
1220,0.0242212592179,283.547670883,135200
1230,0.0249361782113,285.872774718,136300
1240,0.0242951588125,288.165385135,137400
1250,0.0256660841073,290.466720644,138500
1260,0.0248056502601,292.76810132,139600
1270,0.0236416511263,295.074548495,140700
1280,0.0243609194105,297.383279645,141800
1290,0.0240789613923,299.694168843,142900
1300,0.0242719399161,301.992060451,144000
1310,0.0265575144224,304.293972452,145100
1320,0.0240501826174,306.588955366,146200
1330,0.0246832885205,308.898870091,147300
1340,0.0234646014974,311.218133028,148400
1350,0.0236432928632,313.519437708,149500
1360,0.0246785388711,315.827770982,150600
1370,0.0258217617922,318.12953382,151700
1380,0.02346960197,320.42895972,152800
1390,0.024634656881,322.769165829,153900
1400,0.0249104999457,325.069508279,155000
1410,0.0232563134657,327.360230495,156100
1420,0.0246038219487,329.661340907,157200
1430,0.0246424301974,331.995330346,158300
1440,0.0236818137066,334.297199231,159400
1450,0.0238365451484,336.599753385,160500
1460,0.0233388051846,338.894041017,161600
1470,0.0247995301482,341.194859743,162700
1480,0.0236525988512,343.50483053,163800
1490,0.0257957733934,345.805842152,164900
1500,0.024282703867,348.111011358,166000
1510,0.0238993628611,350.410569473,167100
1520,0.0245034093823,352.7172582,168200
1530,0.0247206711451,355.014160558,169300
1540,0.024031734949,357.322809371,170400
1550,0.023856975218,359.648316128,171500
1560,0.024493340368,361.949237624,172600
1570,0.0250395424395,364.24285284,173700
