problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,MIMIC,"['100', '50', '0.7']",66.0,4320,26.881211296,476200.0
CONTPEAKS,GA,"['100', '50', '50']",99.0,4610,0.35821653700000006,322638.0
CONTPEAKS,RHC,"[]",98.0,4510,0.006149299,4521.0
CONTPEAKS,SA,"['0.75']",99.0,4500,0.004407399,4511.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",833.0,1770,1187.85198289,195700.0
FLIPFLOP,GA,"['100', '30', '50']",611.0,1930,0.426658941,111765.0
FLIPFLOP,RHC,"[]",755.0,3000,0.008705469,3011.0
FLIPFLOP,SA,"['0.55']",784.0,3000,0.011420287,3011.0
NN,Backprop,"['/NN', 'Backpro']",0.8945686901000001,250,9.487619405,0
NN,GA,"['/NN', 'GA', '50', '20', '2']",0.8707037643209999,320,122.603668146,0
NN,RHC,"['/NN', 'RH']",0.848381601363,450,7.9495936039999995,0
NN,SA,"['/NN', 'SA', '0.5']",0.519187358916,490,6.528136512000001,0
TSP,MIMIC,"['100', '50', '0.1']",0.037931885472099997,2930,705.5484601410001,323300.0
TSP,GA,"['100', '30', '10']",0.106909004521,1340,0.238811328018,49647.0
TSP,RHC,"[]",0.054083390368,2900,0.00521429994842,2911.0
TSP,SA,"['0.35']",0.0554492344936,2940,0.005400609999920001,2951.0
